ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
149900,2,1.5,1296,1306,1870,144,0
100000,4,1.5,1964,5662,1930,84,2
105900,4,1.5,2198,4356,1910,104,1
329900,3,1.5,1691,4791,1924,90,1
1195000,6,4.5,6328,16988,1910,104,2
556877,4,3.25,2573,4791,1923,91,3
79500,3,,1091,5227,1925,89,1
209900,2,1,814,2178,1924,90,1
1325000,4,5.75,6783,35283,1953,61,3
364500,4,2.25,2432,5662,1936,78,1
199900,5,2.25,2767,7840,1968,46,2
360000,3,1,1211,6534,1916,98,1
134900,4,1,1709,6534,1960,54,2
249900,2,1.25,994,4791,1929,85,1
119500,2,1,1073,6969,1916,98,4
99900,2,1.75,1220,6534,1900,114,1
479000,4,1.75,2358,7405,1935,79,1
260000,3,1.5,1488,5227,1909,105,4
649900,5,3.25,3222,6098,1928,86,4
194500,3,1.75,1814,7405,1960,54,4
125000,4,1.5,1520,,1961,53,1
113900,2,1.75,1296,4791,1951,63,2
129000,4,2.25,1790,7405,1967,47,2
78980,2,1,1415,7405,1939,75,1
769000,5,3.25,3715,7405,1912,102,2
206000,2,1,1358,11761,1938,76,1
125000,3,1.5,1468,5227,1909,105,2
234900,3,2,1277,7405,1996,18,2
229900,4,2,1288,5227,1926,88,1
83900,3,1,1761,6534,1907,107,1
150000,4,2,1686,6969,1900,114,1
119900,2,1,732,4791,1914,100,1
69900,4,1.5,3000,3484,1892,122,2
279900,3,1.75,1355,5227,1915,99,2
2895000,6,5.75,7436,14374,1929,85,3
549900,4,1.75,1945,5227,1908,106,2
385000,5,3.25,2568,20908,1901,113,2
485000,5,1.75,3422,5662,1895,119,2
79000,2,1.25,1164,4791,1886,128,2
105000,4,2,1064,7840,1906,108,2
40000,3,1,1086,4356,1911,103,1
149900,4,2,1624,4356,1900,114,1
250000,3,1,1560,6534,1908,106,1
3750000,5,5,6500,39639,1958,56,3
995000,4,2.75,3119,7840,1927,87,2
160000,3,1.5,1878,6098,1994,20,1
119900,2,1,1369,6534,1905,109,2
239900,3,2.5,1694,4791,1907,107,2
1935000,5,3,5008,6534,1929,85,2
158000,2,1,1498,5227,1912,102,1
144900,3,1.25,1200,,1900,114,2
119900,2,1.5,671,5662,1946,68,1
1995000,3,2.75,5084,9147,1916,98,2
299000,3,1.75,1899,8712,1952,62,3
159990,3,1.5,1075,4356,1911,103,4
217500,3,1.75,1675,5227,1922,92,1
164900,2,1,1021,5227,1908,106,1
139900,3,1,1345,5662,1908,106,2
1995000,4,5,5866,7840,1908,106,4
214900,3,1.5,1344,6969,1925,89,2
189900,3,1.75,1747,6969,1906,108,2
159900,2,1,1082,5227,1946,68,1
77000,5,1,1536,,1914,100,2
935000,4,3,2630,4356,2013,1,2
159500,3,1.75,1248,4791,1926,88,2
